
Consulta do plano de contas 1 - DOURALEX - 9014 PARTICIPANTE

Código;Classificação;Nome;Apelido;Consolidada;Relatório;Concilia Aut.;Ct. Obrigatória;Fórmula

19;01;ATIVO;; ;Balanço patrimonial;NÃO;NÃO;
27;01.1; ATIVO CIRCULANTE;; ;Balanço patrimonial;NÃO;NÃO;
35;01.1.1;  DISPONIBILIDADES;; ;Balanço patrimonial;NÃO;NÃO;
43;01.1.1.01;   CAIXA;; ;Balanço patrimonial;NÃO;NÃO;
51;01.1.1.01.001;     Caixa ;CX; ;Balanço patrimonial;NÃO;NÃO;
6440;01.1.1.01.002;     Caixa - Fundo Fixo ;CXFX; ;Balanço patrimonial;NÃO;NÃO;
60;01.1.1.02;   BANCOS CONTA MOVIMENTO;; ;Balanço patrimonial;NÃO;NÃO;
78;01.1.1.02.001;     Banco do Brasil ;BB; ;Balanço patrimonial;NÃO;NÃO;
86;01.1.1.02.002;     Caixa Econômica Federal S/A - 2.471-7 ;CEF; ;Balanço patrimonial;NÃO;NÃO;
94;01.1.1.02.003;     Bradesco S/A - 74128-0 ;BBD; ;Balanço patrimonial;NÃO;NÃO;
4758;01.1.1.02.004;     Banco Itau S/A - 60431-1 ;BITAU; ;Balanço patrimonial;NÃO;NÃO;
4766;01.1.1.02.005;     Banco do Brasil - 5186-1 ;BB1; ;Balanço patrimonial;NÃO;NÃO;
4774;01.1.1.02.006;     HSBC Bamk Brasil S/A - 00633-07 ;BHSBC; ;Balanço patrimonial;NÃO;NÃO;
4782;01.1.1.02.007;     Cooperativa Crédito Sicredi ;SICREDI; ;Balanço patrimonial;NÃO;NÃO;
6033;01.1.1.02.008;     Banco Bradesco S/A ;BRAD; ;Balanço patrimonial;NÃO;NÃO;
6122;01.1.1.02.009;     Caixa Economica Federal S/A ;CEFS/A; ;Balanço patrimonial;NÃO;NÃO;
6386;01.1.1.02.010;     Banco Santander ;SANT; ;Balanço patrimonial;NÃO;NÃO;
6475;01.1.1.02.011;     Hsbc Bank Brasil ;HSBC; ;Balanço patrimonial;NÃO;NÃO;
6483;01.1.1.02.012;     Banco Itau S/A ;ITAU; ;Balanço patrimonial;NÃO;NÃO;
7242;01.1.1.02.013;     Uniprime Dourados ;UNPR; ;Balanço patrimonial;NÃO;NÃO;
7480;01.1.1.02.014;     Banco Daycoval ;DAYCOVAL; ;Balanço patrimonial;NÃO;NÃO;
7501;01.1.1.02.015;     Cooperativa Crédito Sicoob ;SICOOB; ;Balanço patrimonial;NÃO;NÃO;
8095;01.1.1.02.016;     Stone ;STONE; ;Balanço patrimonial;NÃO;NÃO;
8427;01.1.1.02.017;     Cresol ;CRESOL; ;Balanço patrimonial;NÃO;NÃO;
8532;01.1.1.02.018;     Banco Safra S/A ;SAFRA; ;Balanço patrimonial;NÃO;NÃO;
8583;01.1.1.02.019;     PagBank PagSeguro Internet S/A ;PAGBANK; ;Balanço patrimonial;NÃO;NÃO;
8584;01.1.1.02.020;     Banco Inter ;INTER; ;Balanço patrimonial;NÃO;NÃO;
8672;01.1.1.02.021;     Transferências Bancárias ;TRANSFBANC; ;Balanço patrimonial;NÃO;NÃO;
8710;01.1.1.02.022;     !!!! TRANSFERÊNCIAS À CLASSIFICAR !!!! ;; ;Balanço patrimonial;NÃO;NÃO;
8753;01.1.1.02.023;     Nubank ;NUBANK; ;Balanço patrimonial;NÃO;NÃO;
8931;01.1.1.02.024;     Infinitepay ;INFINETEPAY; ;Balanço patrimonial;NÃO;NÃO;
9407;01.1.1.02.025;     Banco do Brasil C/C 18151-0 ;BBHIROTA; ;Balanço patrimonial;NÃO;NÃO;
9911;01.1.1.02.026;     Cooperativa de Crédito Sicoob - Filial ;; ;Balanço patrimonial;NÃO;NÃO;
108;01.1.1.03;   APLICAÇÕES DE LIQUIDEZ IMEDIATA - FAF;; ;Balanço patrimonial;NÃO;NÃO;
116;01.1.1.03.001;     Banco do Brasil ;FAFBB; ;Balanço patrimonial;NÃO;NÃO;
124;01.1.1.03.002;     Caixa Econômica Federal ;FAFCEF; ;Balanço patrimonial;NÃO;NÃO;
9849;01.1.1.03.003;     Plano de Integralização de Capital ;; ;Balanço patrimonial;NÃO;NÃO;
132;01.1.2;  DIREITOS REALIZÁVEIS A CURTO PRAZO;; ;Balanço patrimonial;NÃO;NÃO;
140;01.1.2.01;   CLIENTES NACIONAIS;; ;Balanço patrimonial;NÃO;NÃO;
159;01.1.2.01.0001;     Clientes Diversos ;CD; ;Balanço patrimonial;NÃO;NÃO;
8680;01.1.2.02;   DUPLICATAS À RECEBER;; ;Balanço patrimonial;NÃO;NÃO;
6670;01.1.2.02.01;     Duplicatas a Receber ;DUPLREC; ;Balanço patrimonial;NÃO;NÃO;
8826;01.1.2.03;   CRÉDITOS DIVERSOS A RECEBER;; ;Balanço patrimonial;NÃO;NÃO;
8834;01.1.2.03.001;     Créditos de Terceiros a Reembolsar

 ;CREDTERCREEMB; ;Balanço patrimonial;NÃO;NÃO;
9393;01.1.2.03.002;     Créditos a Receber de Sócios ;CREDRECSOC; ;Balanço patrimonial;NÃO;NÃO;
167;01.1.2.04;   APLICAÇÕES FINANCEIRAS DE RENDA FIXA;; ;Balanço patrimonial;NÃO;NÃO;
175;01.1.2.04.001;     Aplicações No Fundo de Commodities ;COMO; ;Balanço patrimonial;NÃO;NÃO;
183;01.1.2.04.002;     Aplicações No Fundo Di ;FDI; ;Balanço patrimonial;NÃO;NÃO;
191;01.1.2.05;   APLICAÇÕES FINANCEIRAS DE RENDA VARIÁVEL;; ;Balanço patrimonial;NÃO;NÃO;
205;01.1.2.05.001;     Aplicações Em Ações ;AÇOES; ;Balanço patrimonial;NÃO;NÃO;
213;01.1.2.06;   APLICAÇÕES FINANCEIRAS DIVERSAS;; ;Balanço patrimonial;NÃO;NÃO;
221;01.1.2.06.001;     Aplicações em Caderneta de Poupança ;POUP; ;Balanço patrimonial;NÃO;NÃO;
230;01.1.2.06.002;     Aplicações Depósito Especial Remunerado ;DEPESP; ;Balanço patrimonial;NÃO;NÃO;
5878;01.1.2.06.003;     Aplicação Financeira ;APLFINAN; ;Balanço patrimonial;NÃO;NÃO;
6858;01.1.2.06.004;     Aplicação Financeira Santander ;APLFINANSANT; ;Balanço patrimonial;NÃO;NÃO;
7129;01.1.2.06.005;     Aplicação Renda Fixa CDB ;APLFINCDB; ;Balanço patrimonial;NÃO;NÃO;
7137;01.1.2.06.006;     Aplicação Invest Plus Bradesco ;APLPLUS; ;Balanço patrimonial;NÃO;NÃO;
7153;01.1.2.06.007;     Aplicação Financeira SICREDI ;APLSICREDI; ;Balanço patrimonial;NÃO;NÃO;
7277;01.1.2.06.008;     Aplicação Financeira Prime 90 ;APLUNPRIME; ;Balanço patrimonial;NÃO;NÃO;
7285;01.1.2.06.009;     Aplicação Financeira Prime 30 ;APLPRIME30; ;Balanço patrimonial;NÃO;NÃO;
7382;01.1.2.06.010;     Aplicacação Financeira BB ;APLBB; ;Balanço patrimonial;NÃO;NÃO;
7803;01.1.2.06.011;     Aplicação Sicredi RDC DIST. RESULTADOS ;APLSICREDIRDC; ;Balanço patrimonial;NÃO;NÃO;
7811;01.1.2.06.012;     Aplicação BB CDB DI ;APLBBCDB; ;Balanço patrimonial;NÃO;NÃO;
7820;01.1.2.06.013;     Aplicação Financeira Itaú ;APLITAU; ;Balanço patrimonial;NÃO;NÃO;
7838;01.1.2.06.014;     Aplicação Pós-Fixado Prime CDI 90D ;APLIPOSPRIME; ;Balanço patrimonial;NÃO;NÃO;
7943;01.1.2.06.015;     Aplicação Financeira Caixa Economica ;APLCAIXA; ;Balanço patrimonial;NÃO;NÃO;
8478;01.1.2.06.016;     Aplicação Sicredinvest ;APLSICREDINVEST; ;Balanço patrimonial;NÃO;NÃO;
9806;01.1.2.06.017;     Rendimentos de Aplicações a Receber - BB CDB DI ;RENDAPLREC; ;Balanço patrimonial;NÃO;NÃO;
9857;01.1.2.06.018;     Plano de Integralização de Capital ;; ;Balanço patrimonial;NÃO;NÃO;
248;01.1.2.07;   ADIANTAMENTOS;; ;Balanço patrimonial;NÃO;NÃO;
256;01.1.2.07.001;     Adiantamentos de Salários a Empregados ;ADDEMPR; ;Balanço patrimonial;NÃO;NÃO;
264;01.1.2.07.002;     Adiantamentos de Pró-Labore a Diretores ;ADDPROL; ;Balanço patrimonial;NÃO;NÃO;
272;01.1.2.07.003;     Adiantamentos Para Viagens ;ADDVGM; ;Balanço patrimonial;NÃO;NÃO;
299;01.1.2.07.005;     Adiantamento a Fornecedores ;ADDFORNEC; ;Balanço patrimonial;NÃO;NÃO;
302;01.1.2.07.006;     Adiantamento 13º Salário ;ADD13SAL; ;Balanço patrimonial;NÃO;NÃO;
310;01.1.2.07.007;     Adiantamento Férias ;ADDFERIS; ;Balanço patrimonial;NÃO;NÃO;
6041;01.1.2.07.008;     Adiantamento a Empregados ;ADDEM; ;Balanço patrimonial;NÃO;NÃO;
7420;01.1.2.07.009;     Antecipação de Lucros ao Socios ;ANTLUCSOC; ;Balanço patrimonial;NÃO;NÃO;
7749;01.1.2.07.010;     Adiantamento de Consórcio ;ADIATCONSO; ;Balanço patrimonial;NÃO;NÃO;
8508;01.1.2.07.011;     Adto de Pró-Labore a Luciana Cardoso ;ADDPROLLICS; ;Balanço patrimonial;NÃO;NÃO;
8516;01.1.2.07.012;     Adto de Pró-Labore a Fabio Izida ;ADDPROLFIC; ;Balanço patrimonial;NÃO;NÃO;
8699;01.1.2.07.013;     Antecipação de Lucros ao Sócios - Vanderlei Teston ;; ;Balanço patrimonial;NÃO;NÃO;
8702;01.1.2.07.014;     Antecipação de Lucros ao Sócios - Edilson José Gianchini ;; ;Balanço patrimonial;NÃO;NÃO;
8745;01.1.2.07.015;     Antecipação de Lucros ao Sócios - Willian Lopes Gomes ;; ;Balanço patrimonial;NÃO;NÃO;
8915;01.1.2.07.016;     Antecipação de Lucros ao Sócios - Daiane Escolarte da Silva ;ANTECIDAIANE; ;Balanço patrimonial;NÃO;NÃO;
8923;01.1.2.07.017;     Antecipação de Lucros ao Sócios - Gilberto da Silva ;ANTECIPGILBERTO; ;Balanço patrimonial;NÃO;NÃO;
9873;01.1.2.07.018;     Antecipação de Lucros à Sócia - Marinete da Cruz Almeida ;; ;Balanço patrimonial;NÃO;NÃO;
9881;01.1.2.07.019;     Antecipação de Lucros ao Sócio - José Rosa De Almeida ;; ;Balanço patrimonial;NÃO;NÃO;
329;01.1.2.08;   TRIBUTOS E CONTRIBUIÇÕES A COMPENSAR;; ;Balanço patrimonial;NÃO;NÃO;
337;01.1.2.08.001;     ICMS a Recuperar ;ICMSRECUP; ;Balanço patrimonial;NÃO;NÃO;
345;01.1.2.08.002;     IPI a Compensar ;IPIRECUP; ;Balanço patrimonial;NÃO;NÃO;
353;01.1.2.08.003;     INSS a Compensar ;INSSRECUP; ;Balanço patrimonial;NÃO;NÃO;
